yr,GEOID,NAME,variable,estimate,moe,summary_est,summary_moe
2005,4748000,"Memphis city, Tennessee",B25002_001,299386,3148,299386,3148
2005,4748000,"Memphis city, Tennessee",B25002_002,261983,4867,299386,3148
2005,4748000,"Memphis city, Tennessee",B25002_003,37403,4265,299386,3148
2006,4748000,"Memphis city, Tennessee",B25002_001,294262,3647,294262,3647
2006,4748000,"Memphis city, Tennessee",B25002_002,248836,5436,294262,3647
2006,4748000,"Memphis city, Tennessee",B25002_003,45426,4128,294262,3647
2007,4748000,"Memphis city, Tennessee",B25002_001,297383,3353,297383,3353
2007,4748000,"Memphis city, Tennessee",B25002_002,250885,4727,297383,3353
2007,4748000,"Memphis city, Tennessee",B25002_003,46498,4180,297383,3353
2008,4748000,"Memphis city, Tennessee",B25002_001,298204,3685,298204,3685
2008,4748000,"Memphis city, Tennessee",B25002_002,244929,4698,298204,3685
2008,4748000,"Memphis city, Tennessee",B25002_003,53275,4000,298204,3685
2009,4748000,"Memphis city, Tennessee",B25002_001,309811,3679,309811,3679
2009,4748000,"Memphis city, Tennessee",B25002_002,254006,4635,309811,3679
2009,4748000,"Memphis city, Tennessee",B25002_003,55805,4135,309811,3679
2010,4748000,"Memphis city, Tennessee",B25002_001,293845,3302,293845,3302
2010,4748000,"Memphis city, Tennessee",B25002_002,241400,4203,293845,3302
2010,4748000,"Memphis city, Tennessee",B25002_003,52445,3676,293845,3302
2011,4748000,"Memphis city, Tennessee",B25002_001,294145,3322,294145,3322
2011,4748000,"Memphis city, Tennessee",B25002_002,245836,4445,294145,3322
2011,4748000,"Memphis city, Tennessee",B25002_003,48309,3548,294145,3322
2012,4748000,"Memphis city, Tennessee",B25002_001,296840,3327,296840,3327
2012,4748000,"Memphis city, Tennessee",B25002_002,247478,3642,296840,3327
2012,4748000,"Memphis city, Tennessee",B25002_003,49362,3543,296840,3327
2013,4748000,"Memphis city, Tennessee",B25002_001,297610,2917,297610,2917
2013,4748000,"Memphis city, Tennessee",B25002_002,250302,4332,297610,2917
2013,4748000,"Memphis city, Tennessee",B25002_003,47308,3327,297610,2917
2014,4748000,"Memphis city, Tennessee",B25002_001,300637,3089,300637,3089
2014,4748000,"Memphis city, Tennessee",B25002_002,250553,3753,300637,3089
2014,4748000,"Memphis city, Tennessee",B25002_003,50084,3184,300637,3089
2015,4748000,"Memphis city, Tennessee",B25002_001,299953,3373,299953,3373
2015,4748000,"Memphis city, Tennessee",B25002_002,250324,4428,299953,3373
2015,4748000,"Memphis city, Tennessee",B25002_003,49629,3767,299953,3373
2016,4748000,"Memphis city, Tennessee",B25002_001,303888,3228,303888,3228
2016,4748000,"Memphis city, Tennessee",B25002_002,256973,4572,303888,3228
2016,4748000,"Memphis city, Tennessee",B25002_003,46915,3681,303888,3228
2017,4748000,"Memphis city, Tennessee",B25002_001,298121,3353,298121,3353
2017,4748000,"Memphis city, Tennessee",B25002_002,246518,4056,298121,3353
2017,4748000,"Memphis city, Tennessee",B25002_003,51603,3745,298121,3353
2018,4748000,"Memphis city, Tennessee",B25002_001,300305,3664,300305,3664
2018,4748000,"Memphis city, Tennessee",B25002_002,252517,4720,300305,3664
2018,4748000,"Memphis city, Tennessee",B25002_003,47788,3300,300305,3664
2019,4748000,"Memphis city, Tennessee",B25002_001,301473,4146,301473,4146
2019,4748000,"Memphis city, Tennessee",B25002_002,254423,4870,301473,4146
2019,4748000,"Memphis city, Tennessee",B25002_003,47050,3354,301473,4146
2021,4748000,"Memphis city, Tennessee",B25002_001,288491,4648,288491,4648
2021,4748000,"Memphis city, Tennessee",B25002_002,256968,4780,288491,4648
2021,4748000,"Memphis city, Tennessee",B25002_003,31523,2600,288491,4648
2005,4748000,"Memphis city, Tennessee",B25004_001,37403,4265,37403,4265
2005,4748000,"Memphis city, Tennessee",B25004_002,15688,2892,37403,4265
2005,4748000,"Memphis city, Tennessee",B25004_003,994,570,37403,4265
2005,4748000,"Memphis city, Tennessee",B25004_004,5790,1736,37403,4265
2005,4748000,"Memphis city, Tennessee",B25004_005,2043,827,37403,4265
2005,4748000,"Memphis city, Tennessee",B25004_006,918,505,37403,4265
2005,4748000,"Memphis city, Tennessee",B25004_007,410,355,37403,4265
2005,4748000,"Memphis city, Tennessee",B25004_008,11560,2309,37403,4265
2006,4748000,"Memphis city, Tennessee",B25004_001,45426,4128,45426,4128
2006,4748000,"Memphis city, Tennessee",B25004_002,17130,2376,45426,4128
2006,4748000,"Memphis city, Tennessee",B25004_003,1337,646,45426,4128
2006,4748000,"Memphis city, Tennessee",B25004_004,6499,1594,45426,4128
2006,4748000,"Memphis city, Tennessee",B25004_005,673,501,45426,4128
2006,4748000,"Memphis city, Tennessee",B25004_006,943,534,45426,4128
2006,4748000,"Memphis city, Tennessee",B25004_007,0,279,45426,4128
2006,4748000,"Memphis city, Tennessee",B25004_008,18844,2396,45426,4128
2007,4748000,"Memphis city, Tennessee",B25004_001,46498,4180,46498,4180
2007,4748000,"Memphis city, Tennessee",B25004_002,19488,2650,46498,4180
2007,4748000,"Memphis city, Tennessee",B25004_003,2146,865,46498,4180
2007,4748000,"Memphis city, Tennessee",B25004_004,5135,1645,46498,4180
2007,4748000,"Memphis city, Tennessee",B25004_005,800,552,46498,4180
2007,4748000,"Memphis city, Tennessee",B25004_006,1343,771,46498,4180
2007,4748000,"Memphis city, Tennessee",B25004_007,0,281,46498,4180
2007,4748000,"Memphis city, Tennessee",B25004_008,17586,2830,46498,4180
