yr,GEOID,NAME,variable,estimate,moe
2005,4748000,"Memphis city, Tennessee",B25077_001,86200,1665
2006,4748000,"Memphis city, Tennessee",B25077_001,90900,2477
2007,4748000,"Memphis city, Tennessee",B25077_001,97300,2258
2008,4748000,"Memphis city, Tennessee",B25077_001,99900,3173
2009,4748000,"Memphis city, Tennessee",B25077_001,101400,3568
2010,4748000,"Memphis city, Tennessee",B25077_001,100500,2931
2011,4748000,"Memphis city, Tennessee",B25077_001,96000,3964
2012,4748000,"Memphis city, Tennessee",B25077_001,92900,2895
2013,4748000,"Memphis city, Tennessee",B25077_001,89400,2708
2014,4748000,"Memphis city, Tennessee",B25077_001,91800,2890
2015,4748000,"Memphis city, Tennessee",B25077_001,94400,3827
2016,4748000,"Memphis city, Tennessee",B25077_001,96800,3584
2017,4748000,"Memphis city, Tennessee",B25077_001,98700,3544
2018,4748000,"Memphis city, Tennessee",B25077_001,103700,7039
2019,4748000,"Memphis city, Tennessee",B25077_001,115900,5537
2021,4748000,"Memphis city, Tennessee",B25077_001,142800,8337
2005,4748000,"Memphis city, Tennessee",B25071_001,34.2,1.5
2006,4748000,"Memphis city, Tennessee",B25071_001,33.7,1.4
2007,4748000,"Memphis city, Tennessee",B25071_001,33.2,1.7
2008,4748000,"Memphis city, Tennessee",B25071_001,33.8,1.9
2009,4748000,"Memphis city, Tennessee",B25071_001,35.2,1.7
2010,4748000,"Memphis city, Tennessee",B25071_001,35.3,1.9
2011,4748000,"Memphis city, Tennessee",B25071_001,36.1,2
2012,4748000,"Memphis city, Tennessee",B25071_001,37,1.9
2013,4748000,"Memphis city, Tennessee",B25071_001,34.6,2
2014,4748000,"Memphis city, Tennessee",B25071_001,35.6,2
2015,4748000,"Memphis city, Tennessee",B25071_001,32.9,1
2016,4748000,"Memphis city, Tennessee",B25071_001,33,1.3
2017,4748000,"Memphis city, Tennessee",B25071_001,32.3,1.9
2018,4748000,"Memphis city, Tennessee",B25071_001,35,1.5
2019,4748000,"Memphis city, Tennessee",B25071_001,33,1.7
2021,4748000,"Memphis city, Tennessee",B25071_001,33.4,2
2005,4748000,"Memphis city, Tennessee",B25058_001,525,17
2006,4748000,"Memphis city, Tennessee",B25058_001,515,12
2007,4748000,"Memphis city, Tennessee",B25058_001,550,15
2008,4748000,"Memphis city, Tennessee",B25058_001,573,16
2009,4748000,"Memphis city, Tennessee",B25058_001,570,9
2010,4748000,"Memphis city, Tennessee",B25058_001,578,11
2011,4748000,"Memphis city, Tennessee",B25058_001,591,13
2012,4748000,"Memphis city, Tennessee",B25058_001,594,10
2013,4748000,"Memphis city, Tennessee",B25058_001,618,10
2014,4748000,"Memphis city, Tennessee",B25058_001,624,11
2015,4748000,"Memphis city, Tennessee",B25058_001,628,10
2016,4748000,"Memphis city, Tennessee",B25058_001,642,13
2017,4748000,"Memphis city, Tennessee",B25058_001,664,15
2018,4748000,"Memphis city, Tennessee",B25058_001,660,14
2019,4748000,"Memphis city, Tennessee",B25058_001,703,15
2021,4748000,"Memphis city, Tennessee",B25058_001,750,16
2005,4748000,"Memphis city, Tennessee",B25064_001,683,19
2006,4748000,"Memphis city, Tennessee",B25064_001,680,16
2007,4748000,"Memphis city, Tennessee",B25064_001,719,20
2008,4748000,"Memphis city, Tennessee",B25064_001,756,15
2009,4748000,"Memphis city, Tennessee",B25064_001,745,14
2010,4748000,"Memphis city, Tennessee",B25064_001,781,16
2011,4748000,"Memphis city, Tennessee",B25064_001,785,18
2012,4748000,"Memphis city, Tennessee",B25064_001,797,17
2013,4748000,"Memphis city, Tennessee",B25064_001,800,15
2014,4748000,"Memphis city, Tennessee",B25064_001,834,14
2015,4748000,"Memphis city, Tennessee",B25064_001,826,17
2016,4748000,"Memphis city, Tennessee",B25064_001,857,14
2017,4748000,"Memphis city, Tennessee",B25064_001,863,19
2018,4748000,"Memphis city, Tennessee",B25064_001,863,17
2019,4748000,"Memphis city, Tennessee",B25064_001,923,18
2021,4748000,"Memphis city, Tennessee",B25064_001,989,23
2005,4748000,"Memphis city, Tennessee",B25092_001,22.8,0.9
2006,4748000,"Memphis city, Tennessee",B25092_001,24.7,0.8
2007,4748000,"Memphis city, Tennessee",B25092_001,23.2,0.7
2008,4748000,"Memphis city, Tennessee",B25092_001,22.8,0.8
2009,4748000,"Memphis city, Tennessee",B25092_001,23.5,0.8
2010,4748000,"Memphis city, Tennessee",B25092_001,22.7,0.8
2011,4748000,"Memphis city, Tennessee",B25092_001,23,1
2012,4748000,"Memphis city, Tennessee",B25092_001,21.8,0.9
2013,4748000,"Memphis city, Tennessee",B25092_001,20.9,0.7
2014,4748000,"Memphis city, Tennessee",B25092_001,21.8,0.8
2015,4748000,"Memphis city, Tennessee",B25092_001,19.7,0.6
2016,4748000,"Memphis city, Tennessee",B25092_001,18.5,0.6
2017,4748000,"Memphis city, Tennessee",B25092_001,17.7,0.6
2018,4748000,"Memphis city, Tennessee",B25092_001,18.7,0.7
2019,4748000,"Memphis city, Tennessee",B25092_001,17.4,0.7
2021,4748000,"Memphis city, Tennessee",B25092_001,17.5,0.8
