DATE,PCEPI
1959-01-01,16.042
1959-02-01,16.057
1959-03-01,16.068
1959-04-01,16.1
1959-05-01,16.109
1959-06-01,16.155
1959-07-01,16.189
1959-08-01,16.212
1959-09-01,16.255
1959-10-01,16.294
1959-11-01,16.304
1959-12-01,16.323
1960-01-01,16.314
1960-02-01,16.331
1960-03-01,16.34
1960-04-01,16.4
1960-05-01,16.417
1960-06-01,16.424
1960-07-01,16.453
1960-08-01,16.481
1960-09-01,16.491
1960-10-01,16.51
1960-11-01,16.565
1960-12-01,16.569
1961-01-01,16.571
1961-02-01,16.587
1961-03-01,16.578
1961-04-01,16.568
1961-05-01,16.577
1961-06-01,16.585
1961-07-01,16.621
1961-08-01,16.635
1961-09-01,16.654
1961-10-01,16.652
1961-11-01,16.653
1961-12-01,16.658
1962-01-01,16.689
1962-02-01,16.734
1962-03-01,16.756
1962-04-01,16.775
1962-05-01,16.786
1962-06-01,16.796
1962-07-01,16.787
1962-08-01,16.811
1962-09-01,16.894
1962-10-01,16.876
1962-11-01,16.889
1962-12-01,16.882
1963-01-01,16.923
1963-02-01,16.941
1963-03-01,16.928
1963-04-01,16.927
1963-05-01,16.954
1963-06-01,16.991
1963-07-01,17.025
1963-08-01,17.048
1963-09-01,17.044
1963-10-01,17.078
1963-11-01,17.102
1963-12-01,17.127
1964-01-01,17.163
1964-02-01,17.188
1964-03-01,17.198
1964-04-01,17.211
1964-05-01,17.213
1964-06-01,17.237
1964-07-01,17.259
1964-08-01,17.273
1964-09-01,17.299
1964-10-01,17.31
1964-11-01,17.334
1964-12-01,17.359
1965-01-01,17.378
1965-02-01,17.385
1965-03-01,17.408
1965-04-01,17.435
1965-05-01,17.474
1965-06-01,17.525
1965-07-01,17.538
1965-08-01,17.542
1965-09-01,17.55
1965-10-01,17.556
1965-11-01,17.585
1965-12-01,17.649
1966-01-01,17.67
1966-02-01,17.743
1966-03-01,17.786
1966-04-01,17.848
1966-05-01,17.87
1966-06-01,17.915
1966-07-01,17.949
1966-08-01,18.018
1966-09-01,18.075
1966-10-01,18.123
1966-11-01,18.15
1966-12-01,18.187
1967-01-01,18.188
1967-02-01,18.209
1967-03-01,18.22
1967-04-01,18.249
1967-05-01,18.285
1967-06-01,18.343
1967-07-01,18.405
1967-08-01,18.463
1967-09-01,18.519
1967-10-01,18.57
1967-11-01,18.632
1967-12-01,18.661
1968-01-01,18.748
1968-02-01,18.824
1968-03-01,18.886
1968-04-01,18.945
1968-05-01,19.015
1968-06-01,19.075
1968-07-01,19.134
1968-08-01,19.212
1968-09-01,19.279
1968-10-01,19.364
1968-11-01,19.43
1968-12-01,19.47
1969-01-01,19.546
1969-02-01,19.595
1969-03-01,19.687
1969-04-01,19.774
1969-05-01,19.854
1969-06-01,19.95
1969-07-01,20.037
1969-08-01,20.093
1969-09-01,20.176
1969-10-01,20.245
1969-11-01,20.332
1969-12-01,20.426
1970-01-01,20.499
1970-02-01,20.58
1970-03-01,20.631
1970-04-01,20.736
1970-05-01,20.802
1970-06-01,20.856
1970-07-01,20.932
1970-08-01,20.987
1970-09-01,21.081
1970-10-01,21.185
1970-11-01,21.269
1970-12-01,21.363
1971-01-01,21.408
1971-02-01,21.471
